2024-10-27,3.218815110671383e-06,1.9227459121258916e-05,3.104325532748599e-05,2.375407428603763e-05,2.2473258263551922e-05,2.413453395163495e-05,3.232511347533011e-06,9.293330614414312e-06,8.648879837374429e-06,1.0004242782225653e-05,2.488539947352617e-05,1.4122421587618243e-05,1.2640958855919268e-05,8.408578259122956e-06,1.2479006632823592e-05,1.023845331812855e-05,1.3206413215833028e-05,1.2796470625442038e-05,6.2063316575975014e-06,1.2437224157594472e-05,6.281765369178711e-06,4.492511177434653e-06,1.2694400066772473e-05,8.581530782698443e-06,1.3112468630693452e-05,8.501435226336032e-06,1.0430856742429183e-05,7.299452409700786e-06,2.1524502560412084e-05,7.5060435276720036e-06,1.1373633291462229e-05,6.739945314094592e-06,7.3494690160010215e-06,2.8522332751983962e-05,8.683110613656828e-06,1.4110296125716745e-05,6.791188607195407e-06,9.29870931784556e-06,5.802251496769506e-06,3.114812949040763e-06,1.1520070320811269e-05,1.124903632340705e-05,6.520234536977203e-06,,,,,,,,,,,,,,,,,,,,,4.507671872458286e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.551806501087323e-06,,,,4.913909105373755e-06,,,1.7499200684720817e-06,,4.468226853656957e-06,,,,,1.501857358709185e-06,1.8238455585197207e-06,4.7392086302016816e-06,5.350323977152185e-06,8.7899886447168e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,2.3643696403810107e-05,6.704212205086812e-06,3.126614281093608e-05,2.1973445594740818e-05,2.1511767599645258e-05,2.2929208149976784e-05,3.271311724831593e-05,2.036956214627829e-05,9.148685328156585e-06,1.2480210331194494e-05,2.5350747921468183e-05,1.754915961579561e-05,1.7959531907849396e-05,3.056290383633818e-05,2.16485507134584e-05,7.877340930773568e-06,1.263351072730964e-05,3.4421195793827706e-05,2.0170505988102798e-05,1.1918314638883785e-05,6.470975132917504e-05,1.0732276546061595e-05,1.3363053504701951e-05,9.035675471840032e-06,1.2876846697634195e-05,2.59580445895217e-05,1.3073741307552227e-05,1.3392978101405641e-05,3.1846947653423425e-05,4.402214421114946e-06,1.375230025944844e-05,2.461208642813921e-05,2.0850541068136498e-05,3.4736538220610835e-05,1.2230295390123708e-05,3.190442407709295e-05,2.419990963981191e-05,1.4708638307836622e-05,2.339439216823904e-05,2.0126320534288006e-05,1.7672639343948544e-05,1.2838335611133265e-05,2.103317836732231e-05,,,,,,,,,,,,,,,,,,,,,4.9969992688399616e-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.926271333438648e-05,,,4.152647652593287e-05,,,,,,,,,,,,,,,,,,,,,,,,5.9041431047102674e-05,5.1720857087445734e-05,4.374397306258874e-05,0.00011758493931584424,5.466861142429262e-05,6.178002310761326e-05,3.937403670640226e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-26,1.0264785057755915e-05,1.993581641437658e-05,2.508957353692477e-05,1.4168736536710066e-05,1.0533890633128499e-05,7.120522849828041e-06,6.708407619078278e-06,5.454880825551345e-06,7.279899802229013e-06,6.094723035669926e-06,8.061036913233601e-06,1.2551442296381095e-05,6.220731251371236e-06,7.591516132613224e-06,3.0290954540991966e-06,5.74034556294022e-06,3.7804706602418427e-06,7.3311060477913266e-06,4.714386492423889e-06,1.8359207961742621e-06,1.4685305265588936e-05,1.2143968642577566e-05,1.0131422245574658e-05,1.1562895708150934e-05,5.827705810885825e-06,1.2329395828017231e-05,1.2990102953163262e-05,6.099970317123891e-06,1.1132940176002644e-05,2.229027899057571e-06,5.8818253514651154e-06,6.878171598851647e-06,3.3840322139329424e-06,2.01723788332855e-05,1.535350477445916e-05,1.2785836731311134e-05,6.938316753907215e-06,2.6615790617024633e-06,7.689176457509664e-06,5.125027700564305e-06,6.748904882039492e-06,2.6338107590829477e-06,4.409589175448629e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9784871120373453e-05,,,,,,,,,,,,,,,2.0866148515674432e-05,,,2.2559697215567204e-05,,,,,,2.091473281129131e-05,,,,,,,,,,,,,,,,,,,,,,,,,1.638190972918379e-05,1.9726119117637307e-05,1.8121055366864347e-05,1.7828241889105997e-05,2.3213953358022117e-05,1.8820667013899276e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-25,4.700671015974161e-05,3.4077963711097326e-05,3.669025106129761e-05,4.3143022503397356e-05,4.8026994170597744e-05,3.9065981571846996e-05,3.6217485875013306e-06,7.437541947761005e-06,2.2995833837410722e-05,1.4094274719280174e-05,1.1752220041499089e-05,7.93602795057227e-05,1.7997457274214585e-05,1.3133493996078284e-05,7.77120495637487e-06,4.7377807573741566e-05,7.741454523999858e-06,3.796363120725985e-05,2.047982188456435e-05,6.354905799110089e-06,3.42220855366841e-05,3.136261832475398e-05,1.0931791142727547e-05,1.9960320154768756e-05,1.9575783672467927e-05,3.846472036875102e-05,7.75468036322654e-05,2.113714132565822e-05,2.900389920142169e-05,1.3798617375611667e-05,8.444300296089194e-06,2.1221440100758742e-05,1.672251401454119e-05,8.760587937864339e-06,6.896114147415121e-05,1.8804369238315346e-05,1.6705742857678813e-05,3.6937932395397004e-05,1.762472390080076e-05,1.940737482936034e-05,3.412166524725318e-05,1.0706491969384753e-05,1.3326866122667935e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.681671168784749e-05,,,,,,,,,,,,,,,,,,,1.9907877715851952e-05,,,,,,6.73287089776178e-05,2.0523916603813138e-05,2.0218102442135306e-05,2.134342920107307e-05,3.5575032246837935e-05,2.6253893612347728e-05,3.2741439096181626e-05,5.479164870991488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,0.00010261176257761845,3.11480647270046e-05,3.250163958712115e-05,0.0001072972754337475,7.892823264021693e-05,7.442687179298511e-05,2.3991177987798617e-05,4.329702354591231e-05,7.472326275747472e-05,2.2113179663938877e-05,2.9511055893259655e-05,8.128720856202775e-05,4.0392294662932064e-05,1.970569787393551e-05,1.8923182644681597e-05,3.4359736723189616e-05,1.626391008569164e-05,3.2713934290200764e-05,2.2879149832988643e-05,1.3845448637493536e-05,5.618083083909425e-05,5.2028373447245727e-05,4.1268231617116313e-05,3.4573488456455306e-05,2.7242216013194234e-05,6.0417609037362434e-05,7.864925428743689e-05,1.6700680043678385e-05,3.378611512405218e-05,1.9458206197389657e-05,1.629948127490001e-05,2.0898849639434097e-05,6.40155951863737e-05,3.026452930201514e-05,8.146061531260761e-05,6.0398961376359224e-05,1.1920840542705545e-05,8.482867132794177e-05,1.1691447032267356e-05,1.6539223145225966e-05,3.647055693613951e-05,2.229974824077741e-05,2.0316714123115703e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026573219051236676,,,0.00017306766576639194,,,,,,,0.0002946434512581124,,,,,,,,,,,,,,,,,,,0.0002999978109844963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015746065029260644,,0.00011246831110581969,,,,,,0.00020176017649344417,0.0002871023996313016,0.00019132818043865376,0.0001561522775274791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26,8.932378421448478e-05,1.7906924128825924e-05,4.7470502742745835e-05,8.361559424163099e-05,8.657084512512106e-05,9.957023531432205e-05,2.922630902474726e-05,1.8525407351807033e-05,4.756870541400353e-05,1.7341981259443565e-05,3.2296232394525373e-05,7.917833648789124e-05,0.00014307672686987116,2.9793651664686983e-05,2.0097911780424122e-05,6.358581976016609e-05,1.7592908272598544e-05,7.810903694206258e-05,3.048595198302525e-05,1.3117295933814848e-05,0.00011978194800695496,3.449965013817017e-05,6.058278071835819e-05,6.350034665265356e-05,9.061543422990962e-05,5.3123937125955015e-05,0.0001304712367339024,1.848059535504921e-05,1.526380827330992e-05,3.954828230276895e-05,2.4204073027817938e-05,7.319066767803968e-05,9.087352835062621e-05,2.163274824308913e-05,0.00012621138939093905,3.0552376743204526e-05,2.795930162098319e-05,0.00016013931667905075,2.875749100116852e-05,2.1127151132495834e-05,5.410294099234682e-05,3.821899182466223e-05,5.3573786860618536e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.489034343622179e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5278124390815794e-05,4.575737806292386e-05,,,,,,4.401830328582484e-05,4.493068616779505e-05,,3.2741821873228576e-05,,,,3.101471495732727e-05,,,,,,,4.655004565263479e-05,,,4.143245157760332e-05,6.268887799200739e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,0.00010035578317563449,5.751797174384129e-05,8.8459532696481e-05,0.00011114227537366185,6.46647544025351e-05,0.0001592418734222528,8.459663844945808e-05,6.274536767636514e-05,8.281054419003021e-05,3.6656679020074064e-05,5.724711194454805e-05,0.0001970344424028404,5.430988060308463e-05,7.154683642894186e-05,1.7779853802860725e-05,0.0001148593685617947,1.848990298341284e-05,0.000184775577370314,5.5373580564962336e-05,4.55279683902095e-05,0.00022217052084078323,2.705963275216137e-05,9.40580322343127e-05,0.00011616812224312768,9.831259796087553e-05,5.5484460059905244e-05,0.00014594708549518914,4.835657982857946e-05,3.094123335572127e-05,5.4094779795908375e-05,4.349128565476386e-05,6.931577634316426e-05,0.00010531091661570968,3.618637807250181e-05,7.707448957769523e-05,0.00015487093817199426,3.790019263656351e-05,0.00014323599429157759,3.836479014657609e-05,3.2722324469071e-05,6.781915915960324e-05,3.430769473907904e-05,3.847092557780889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8320117350016585e-05,,,,,,,,,,,,,,,,,,,,,,,,,6.556831233911157e-05,,,,,,1.8225324978970284e-05,,,,,,,,,,,,,,,,,,,5.212064963498447e-05,,2.4574569053151357e-05,,,2.2810912832775382e-05,,,,,,4.394718473356479e-05,,,,,,5.243779413674379e-05,6.598326123724303e-05,5.034502533233795e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-25,7.797611506072625e-05,2.0969262589742307e-05,5.576851284779693e-05,7.695737599010707e-05,6.238195945146919e-05,3.91196156827492e-05,3.411113760842442e-05,4.164067822510151e-05,5.8340790483562634e-05,2.250739391959888e-05,5.399361584818537e-05,7.375193174031848e-05,5.343551853189774e-05,1.8822755728254282e-05,2.050650321710837e-05,3.248315221838799e-05,1.6973955643235547e-05,7.655439146611552e-05,3.2944672044540665e-05,2.35132955428398e-05,0.00010013010511966824,4.2128176868353934e-05,4.4385962375231524e-05,5.082347437469002e-05,8.678116585980294e-06,2.3898343687901642e-05,5.9995958214714305e-05,3.571758661107431e-05,1.0206352264456542e-05,1.5377729942441918e-05,2.2792189991243147e-05,3.3153928093464195e-05,7.632106901562253e-05,1.8312546145381513e-05,2.2000645116888043e-05,8.37789757894675e-05,4.546768453445266e-05,5.561272537170724e-05,4.7085526563241144e-05,2.2904768698794254e-05,3.0796678478232657e-05,3.222920614188276e-05,1.746377373384668e-05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001337472657296461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00017098295060154488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002167469929237261,,0.00013417371022007206,,,6.556804369416126e-05,,,,9.311210733174448e-05,,0.0001357988447337548,,,,,,,,0.00018871299079439033,0.00018933451900978885,0.00012944673025614214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,5.841805989479364e-05,4.1649698257223005e-05,3.0049335974406143e-05,3.5734708934700705e-05,7.1862265856998086e-06,0.0001041210476840281,4.421397856694452e-05,6.575705563489895e-05,7.780472406449411e-05,2.822076020514227e-05,3.692542379252657e-05,5.032533976334754e-05,3.059231001939883e-05,2.9417053057365714e-05,2.017088468637742e-05,2.8008056221104636e-05,1.873638748127707e-05,2.5960200006631935e-05,1.897595042369216e-05,2.389052275341042e-05,6.350881017789125e-05,1.4369004122632563e-05,8.004944147537365e-05,7.162863390921071e-05,1.7025737893924576e-05,2.9777363094064712e-05,3.914012400256598e-05,1.4854576646955179e-05,8.704905636909725e-06,3.443399734390068e-05,3.215261538493826e-05,2.6555339537364085e-05,4.1167115383683796e-05,1.5169582221053016e-05,2.1945089333723206e-05,5.5203567684020106e-05,3.410681927138571e-05,3.304982347338237e-05,3.5421698710404725e-05,2.4152937220637106e-05,2.0313968891414422e-05,3.238498062544934e-05,2.0248065234605962e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001369140100908896,,,,,,,,,,,,,,,,,,,0.00012718972903899838,,,,,,,,,,,,,,8.719738253910658e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.724602324989073e-05,,,,,,,,,0.00012256906885194262,,,,,,,8.58398463769661e-05,,,,9.274953560227105e-05,8.996380746508228e-05,0.0001645567354417114,0.000130993202681434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,7.061122557608084e-05,0.00017737546445132285,0.00021040493294161432,4.006607249274919e-05,3.2145132565601655e-05,0.00017293699431453227,7.99937556091071e-05,0.00014939735990256435,0.000158080167196289,6.260131044164962e-05,0.00011168577488952605,6.684369295319398e-05,2.2432694886606255e-05,7.721166645978843e-05,1.959650871520578e-05,5.375146617082828e-05,1.6867934706181612e-05,2.7696296685212514e-05,7.575876636772637e-05,4.498497676113756e-05,9.198356759650866e-05,5.307374564859259e-05,2.2760757241087223e-05,4.098975148827824e-05,0.00012596435754040888,3.226552815618295e-05,8.833891335596281e-05,6.73586906984252e-05,5.9100886551451405e-05,0.00015988124724476314,6.706048661298284e-05,5.41049165638682e-05,1.430642857682071e-05,6.216594074755405e-05,2.8808620561132502e-05,7.596943511039268e-05,4.259300374089903e-05,5.052801544232543e-05,5.109872854387015e-05,4.03434677416437e-05,8.685486485815794e-05,0.00020027781913567458,3.399429244114677e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014034151625820764,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015550403020426793,,,,,,,,,,,,,,,,,9.345623448034204e-05,,,,8.129277491339501e-05,9.13429701591034e-05,0.00011138719397459136,8.640839742910826e-05,4.9821380073651265e-05,0.00011911433108660846,0.00012910964801272635,,,,,,,,,,,,,,,,,,,,,
2025-08-23,8.602114929430014e-06,8.211967041506342e-05,8.198081805201476e-05,1.9912486045902655e-05,1.3113003655336445e-05,5.994442275231833e-05,2.2181064917200928e-05,7.004002706599939e-05,7.188168989738073e-05,2.0987384881980576e-05,4.9165069506107854e-05,5.865080582038527e-05,2.689557173188854e-05,1.9132311033277607e-05,1.1867418959135852e-05,5.597340308367062e-05,1.4234734925019083e-05,1.3312790044548744e-05,2.5114907047336255e-05,3.195422362538425e-05,2.5357973909886488e-05,1.2341592201690375e-05,2.0925803522370735e-05,3.1046658552874716e-05,2.7715152157919505e-05,2.0421314725295633e-05,3.426627650927573e-05,4.3892195954994126e-05,2.9029929548605473e-05,6.528322089203221e-05,3.5468843373504503e-05,2.971932640705956e-05,1.7290421055806736e-05,1.6290423078828832e-05,3.765509467514247e-05,1.8799350383395597e-05,6.829067896193362e-06,3.1829894137228826e-05,5.668954992840346e-06,1.39107409066171e-05,2.4423143485977663e-05,8.851743414998984e-05,1.9172649702126854e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.412902111119027e-05,,,,,,,,,,,,,,,4.8998134489727495e-05,,,,,,,,,,,,,,,,,,,4.636287503178036e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36910629291634e-05,,,,,,,,4.551936896030749e-05,4.724541901449481e-05,4.459844123794008e-05,3.4736444223245917e-05,3.396523842290503e-05,3.829519691756772e-05,,,,,,,,,,,,,,,
2025-09-22,4.501251577288881e-05,0.00013178550582575884,0.0002374203284387684,1.6294160761701037e-05,3.929599291082869e-05,4.178305095689316e-05,4.030289062523963e-05,3.459326457361647e-05,6.51612081476405e-05,5.731391494948734e-05,1.1972528366804098e-05,7.918169719757151e-05,2.5765263986479796e-05,5.811216857575707e-05,1.4285971005980368e-05,3.241302592976937e-05,1.6332227416503993e-05,1.701211163554655e-05,4.6525279711806254e-05,7.729841582831734e-05,4.183970432165221e-05,4.9591400364136904e-05,5.4876772768241556e-05,7.786261088875066e-05,7.568124793581939e-05,6.6027938823323e-05,5.4388636548377046e-05,0.00012698671124471421,9.02246498751484e-05,0.00017970031253300135,0.00010617633915133714,5.5201053959725274e-05,3.640137300807952e-05,3.3215308607861745e-05,7.671543433633084e-05,5.990520675664022e-05,1.6386722674717694e-05,1.6085046798671322e-05,1.879222634371537e-05,1.961994631241521e-05,0.00011117508912599633,0.0001570550916079828,0.00014850295003366164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4472728338811676e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,5.512108654605717e-06,,,4.3957978928089765e-06,,,,,,,,,,,,,,,7.534559832583624e-06,3.980431398316748e-06,3.0029207095232217e-06,2.6241222511052548e-06,3.0359151725708667e-06,2.1545226598667417e-06,2.9335208939743007e-06,,,,,,,,
2025-10-22,7.117403493998345e-05,6.822209151162139e-05,0.00014372718484730208,3.775003815750438e-05,4.763645968174158e-05,1.4415684160771491e-05,3.089545578173623e-05,4.516447257728984e-05,4.8988024825306964e-05,6.806307631243867e-05,1.881781775664602e-05,8.163355910768468e-05,5.099571474105773e-05,1.946943665056933e-05,5.497446860750012e-05,6.17907531115118e-05,6.26777188793393e-05,1.8817929560274436e-05,2.2969594482407257e-05,7.043904326107916e-05,4.437177180897949e-05,5.5590751066902846e-05,3.725664835870956e-05,5.52528474637397e-05,5.077289645696422e-05,5.256488793816177e-05,2.6736957933470217e-05,6.899754187449703e-05,4.803411523541491e-05,0.0001081448326305239,8.246109982247247e-05,1.693789919278807e-05,2.8660948116506397e-05,8.891151545301883e-06,2.7201442451472984e-05,3.620754748479002e-05,2.869864256616254e-05,7.708021078146956e-05,3.521356961289551e-05,2.947527391995273e-05,9.020264836408675e-05,8.91533213472074e-05,9.854935945227529e-05,,0.00010695503596421322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012440091124326576,,,,,,,,,,,,,,9.871830074174036e-05,,0.00010019720673019269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001646994287463551,,,,,,,,,0.00017058250314596577,,,,,,,,,,,,,,,,,,,0.00015446233072460066,,,,,,6.752264858200656e-05,0.00012945924574509496,0.0001399609999445839,,,,,,
2025-11-21,0.00018112889765001017,0.00018625654723788352,0.00021295979459674664,4.245773126890271e-05,8.36339082669377e-05,0.00014577759967521615,3.672783829187298e-05,4.015142456828628e-05,3.000399837202156e-05,3.0355991186685114e-05,5.689584945773393e-05,5.7564610124416734e-05,7.012008583310175e-05,0.00010507675385798164,6.128144544826752e-05,3.417137421168899e-05,6.630079133771137e-05,8.18911464933037e-05,0.0001024701302392034,9.094686574130499e-05,2.4083199083584934e-05,6.841351635617572e-05,5.455766431165819e-05,8.265310819840379e-05,9.37587925956009e-05,5.574443661385527e-05,3.792472894430405e-05,0.0001287766704404843,8.253102896889403e-05,0.00018331918862934463,9.461004059625958e-05,8.463779629443738e-05,9.790977603070277e-05,3.9127662547992056e-05,0.0001573216284020706,0.00011850555330245431,3.4814189348028057e-05,3.6971862222762476e-05,4.804518254853233e-05,8.830616184137638e-05,0.00010025470662748917,5.34981908888635e-05,0.00018676483469679572,,,,,,,6.804961300627531e-05,,,,,,,,,,4.928836914742127e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.306068249239998e-05,,,,,,,,,,,6.158878341353796e-05,,,,,,,,,,,2.5094533804659455e-05,,,8.321321158858376e-05,6.284257971300136e-05,4.000005207223457e-05,5.686407556817578e-05,9.037113463903503e-05,
2025-12-21,4.062986645275706e-05,0.0001088668059423044,0.0001408600801047048,3.321816575769439e-05,5.02792766484235e-05,7.142114788658447e-05,6.565336717136756e-05,3.0026095977570184e-05,2.6175182017126644e-05,5.3202798608239146e-05,4.49222837543947e-05,6.55764059751333e-05,9.73624470912455e-05,4.8374439135506775e-05,4.54945895361098e-05,3.833003297638558e-05,7.850471169176461e-05,4.654008814780786e-05,5.726097737534964e-05,7.128543596906953e-05,3.20647008876944e-05,6.919438264189816e-05,1.0417709832128262e-05,4.016357202594326e-05,4.294822776318302e-05,3.3716958072524846e-05,2.691444171206786e-05,3.9896567122703635e-05,1.777843404207263e-05,6.213275190519835e-05,5.6157204935931965e-05,2.7159854304111443e-05,5.704604539093467e-05,2.0598201096680844e-05,3.821225231937259e-05,2.1646061099966367e-05,2.9864676388931986e-05,1.6224354506071907e-05,3.0392550542797734e-05,1.5119832120094862e-05,7.3905310260483e-05,8.875946295641703e-05,8.654851614179987e-05,,,,,,,,,,,,,,,9.358248131184113e-05,5.06117714251898e-05,5.6345656017821076e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15298903657852e-05,,,,,,8.000294736366425e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010605076744637948,,,,,,,,,,,,,,,,,,5.096613006449423e-05,,,,,,,,,8.035689779820377e-05,6.290685647247088e-05,,,,,5.6177382206418717e-05
